date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-04 09:00:00,261.483,261.83,254.385,261.42,107649.0,-0.6461,261.6518,36.8624,264.0564345746518,261.6518,259.24716542534816
2023-08-04 09:15:00,261.44,261.98,260.87,260.87,151260.0,-0.6966,261.5603,33.8348,264.1218079267227,261.5603,258.9987920732773
2023-08-04 09:30:00,260.97,264.77,260.86,262.07,8720231.0,-0.141,261.5418,44.3349,264.3700955624344,261.5418,258.71350443756563
2023-08-04 09:45:00,262.06,262.78,259.42,259.6,6107215.0,-1.101,261.3973,32.9912,264.2293752912221,261.3973,258.56522470877786
2023-08-04 10:00:00,259.61,259.72,257.3,257.735,6923338.0,-1.8003,261.161,27.4159,264.35635990416375,261.161,257.96564009583625
2023-08-04 10:15:00,257.79,259.34,257.57,257.995,4976958.0,-1.791,260.9258,29.1724,264.5840873983691,260.9258,257.26751260163087
2023-08-04 10:30:00,257.961,259.8,256.5,256.83,5456964.0,-2.0779,260.6533,26.1838,264.7313715664099,260.6533,256.5752284335901
2023-08-04 10:45:00,256.88,258.615,256.81,258.28,3840990.0,-1.5626,260.4483,34.9189,264.9686360150617,260.4483,255.92796398493834
2023-08-04 11:00:00,258.32,259.18,258.024,258.75,3003403.0,-1.2216,260.2883,37.4446,265.20089776197216,260.2883,255.37570223802786
2023-08-04 11:15:00,258.743,259.31,257.93,259.06,2686968.0,-1.1335,260.1398,39.0859,265.3235105059531,260.1398,254.95608949404686
2023-08-04 11:30:00,259.06,259.38,258.1,259.21,2675878.0,-0.9136,260.0203,39.8892,265.4231869228178,260.0203,254.61741307718225
2023-08-04 11:45:00,259.22,260.44,259.206,260.295,3501033.0,-0.5483,259.9485,45.3742,265.52139435137894,259.9485,254.37560564862113
2023-08-04 12:00:00,260.33,260.39,258.9,259.46,2598479.0,-0.5519,259.8765,42.2511,265.45889283454966,259.8765,254.29410716545038
2023-08-04 12:15:00,259.441,259.95,258.46,259.81,2399392.0,-0.284,259.8395,43.9532,265.4056531537644,259.8395,254.27334684623563
2023-08-04 12:30:00,259.85,260.488,259.46,260.46,2450066.0,-0.0576,259.832,47.0067,265.4066939465612,259.832,254.2573060534388
2023-08-04 12:45:00,260.48,261.04,260.07,260.605,2533170.0,-0.0556,259.8248,47.676,265.2047932932348,259.8248,254.4448067067652
2023-08-04 13:00:00,260.605,260.86,260.05,260.625,2169399.0,-0.1169,259.8095,47.7718,264.83619954432663,259.8095,254.7828004556734
2023-08-04 13:15:00,260.62,260.62,259.21,259.56,2308902.0,-0.6184,259.7288,43.3261,264.28822734928144,259.7288,255.16937265071851
2023-08-04 13:30:00,259.58,259.9,259.033,259.403,1916488.0,-0.379,259.6794,42.7094,263.7964114265942,259.6794,255.56238857340577
2023-08-04 13:45:00,259.398,259.66,258.31,258.5,2334275.0,-1.1661,259.5269,39.3205,263.15313026449644,259.5269,255.90066973550356
2023-08-04 14:00:00,258.504,258.589,256.93,257.083,3347139.0,-1.659,259.3101,34.7641,262.4300334771608,259.3101,256.19016652283915
2023-08-04 14:15:00,257.07,257.09,255.4,255.665,4015246.0,-1.9952,259.0498,30.9823,261.84697481094054,259.0498,256.2526251890595
2023-08-04 14:30:00,255.67,256.05,254.83,255.35,3702057.0,-2.5642,258.7138,30.2138,261.39695863529175,258.7138,256.03064136470823
2023-08-04 14:45:00,255.3,255.89,254.11,254.755,3602056.0,-1.8663,258.4716,28.7936,261.10303237274223,258.4716,255.84016762725784
2023-08-04 15:00:00,254.74,255.1,253.77,254.79,3358244.0,-1.1426,258.3243,29.0002,260.9326693499289,258.3243,255.71593065007107
2023-08-04 15:15:00,254.84,255.08,253.64,254.24,3129332.0,-1.4555,258.1366,27.6719,260.8873056190169,258.1366,255.3858943809831
2023-08-04 15:30:00,254.26,254.67,253.2,253.49,3425083.0,-1.3005,257.9696,25.9647,260.81779766938587,257.9696,255.12140233061416
2023-08-04 15:45:00,253.5,254.0,253.11,253.85,4202795.0,-1.7152,257.7481,28.2027,260.64370258232594,257.7481,254.85249741767407
2023-08-04 16:00:00,253.86,254.25,253.25,254.11,2925530.0,-1.7932,257.5161,29.8156,260.4355172412013,257.5161,254.5966827587987
2023-08-04 16:15:00,254.11,254.15,253.55,253.63,75808.0,-2.096,257.2446,28.5684,260.19534418587006,257.2446,254.2938558141299
2023-08-04 16:30:00,253.68,253.79,253.53,253.64,39337.0,-2.1488,256.9661,28.6339,259.94458576056445,256.9661,253.98761423943552
2023-08-04 16:45:00,253.64,253.86,253.4,253.54,111786.0,-2.5951,256.6283,28.3603,259.6270192781131,256.6283,253.62958072188698
2023-08-04 17:00:00,253.86,271.286,253.44,253.57,50112.0,-2.2701,256.3338,28.5758,259.31645938464885,256.3338,253.35114061535114
2023-08-04 17:15:00,253.54,253.7,253.4,253.545,25754.0,-2.4114,256.0206,28.5006,258.0210962177203,256.0206,254.02010378227973
2023-08-04 17:30:00,253.55,254.2,253.53,254.04,52526.0,-2.4649,255.6996,32.2187,257.6618642072025,255.6996,253.73733579279752
2023-08-04 17:45:00,254.09,254.1,253.6,253.63,38158.0,-2.6765,255.3508,30.8213,257.29409303925377,255.3508,253.40750696074625
2023-08-04 18:00:00,253.69,253.81,253.55,253.8,24377.0,-2.6187,255.0096,32.1065,256.923157019791,255.0096,253.096042980209
2023-08-04 18:15:00,253.8,253.8,253.45,253.52,42312.0,-2.327,254.7076,31.1046,256.57291564521825,254.7076,252.84228435478178
2023-08-04 18:30:00,253.45,253.6,253.1,253.35,59297.0,-2.3334,254.4049,30.4964,256.1942902715773,254.4049,252.61550972842267
2023-08-04 18:45:00,253.35,253.6,253.2,253.6,31947.0,-1.8956,254.1599,32.5384,255.82030434029056,254.1599,252.49949565970942
2023-08-04 19:00:00,253.6,253.66,253.35,253.54,33301.0,-1.3782,253.9828,32.2987,255.5126037179199,253.9828,252.4529962820801
2023-08-04 19:15:00,253.54,253.8,253.5,253.69,27203.0,-0.7725,253.884,33.5863,255.28868822377257,253.884,252.4793117762274
2023-08-04 19:30:00,253.69,253.75,253.44,253.47,27754.0,-0.7362,253.79,32.6282,255.0426330164266,253.79,252.53736698357338
2023-08-04 19:45:00,253.5,253.84,253.45,253.6,73570.0,-0.4534,253.7323,33.8028,254.75688772204157,253.7323,252.70771227795845
2023-08-07 04:00:00,256.6,257.3,255.1,255.67,69306.0,0.3454,253.7763,48.7721,254.50558387540042,253.7763,253.04701612459957
2023-08-07 04:15:00,255.67,256.05,255.55,255.65,28048.0,0.5546,253.8468,48.6602,255.13000213507308,253.8468,252.56359786492692
2023-08-07 04:30:00,255.65,255.9,255.08,255.27,27354.0,0.7022,253.9358,46.5251,256.1853368204564,253.9358,251.6862631795436
2023-08-07 04:45:00,255.27,255.59,254.98,255.38,28302.0,0.6027,254.0123,47.2306,257.16099466672273,254.0123,250.86360533327726
2023-08-07 05:00:00,255.32,255.77,255.12,255.39,19328.0,0.5037,254.0763,47.2971,258.6841661175079,254.0763,249.4684338824921
2023-08-07 05:15:00,255.45,255.67,255.39,255.63,11267.0,0.7886,254.1763,48.9242,259.7017169804945,254.1763,248.6508830195055
2023-08-07 05:30:00,255.64,255.87,255.59,255.7,12257.0,0.8122,254.2793,49.4038,260.19527048843474,254.2793,248.36332951156527
2023-08-07 05:45:00,255.7,255.83,255.25,255.25,11593.0,0.6744,254.3648,46.4523,260.67087741499324,254.3648,248.05872258500676
2023-08-07 06:00:00,255.3,255.49,254.82,254.98,16016.0,0.5561,254.4353,44.7634,261.21918170300575,254.4353,247.65141829699425
2023-08-07 06:15:00,254.97,255.24,254.8,254.85,16639.0,0.5147,254.5005,43.9534,261.54656015507334,254.5005,247.45443984492667
2023-08-07 06:30:00,254.89,254.94,254.7,254.82,17201.0,0.307,254.5395,43.7611,262.2151881057038,254.5395,246.8638118942962
2023-08-07 06:45:00,254.86,255.17,254.83,255.1,9908.0,0.5796,254.613,46.0793,262.8594356900892,254.613,246.3665643099108
2023-08-07 07:00:00,255.05,255.45,254.45,254.9,70815.0,0.4334,254.668,44.6941,263.1000814866669,254.668,246.23591851333308
2023-08-07 07:15:00,254.9,254.94,254.35,254.7,48411.0,0.4654,254.727,43.3232,263.1450471696828,254.727,246.3089528303172
2023-08-07 07:30:00,254.7,254.99,254.53,254.89,35524.0,0.6079,254.804,45.0099,263.0894818720915,254.804,246.51851812790852
2023-08-07 07:45:00,254.85,255.18,254.74,255.07,40017.0,0.5797,254.8775,46.5949,262.94597047398673,254.8775,246.80902952601323
2023-08-07 08:00:00,255.05,257.5,253.86,255.35,204081.0,0.7139,254.968,49.0017,262.68765697538845,254.968,247.24834302461156
2023-08-07 08:15:00,255.3,255.4,254.62,254.86,63762.0,0.4612,255.0265,45.2454,262.17518175727406,255.0265,247.87781824272594
2023-08-07 08:30:00,254.89,255.6,254.8,255.12,77724.0,0.651,255.109,47.4935,261.59458022411167,255.109,248.62341977588835
2023-08-07 08:45:00,255.16,255.68,255.11,255.39,81605.0,0.7058,255.1985,49.7488,260.72785999163284,255.1985,249.66914000836712
2023-08-07 09:00:00,255.39,255.5,251.2,251.45,788718.0,-1.6506,254.9875,29.9731,259.1407084687509,254.9875,250.83429153124914
2023-08-07 09:15:00,251.53,251.53,249.61,251.45,955378.0,-1.6429,254.7775,29.9731,258.0801995692239,254.7775,251.4748004307761
2023-08-07 09:30:00,251.45,253.651,247.8,248.1,11270504.0,-2.8088,254.419,21.8066,257.3112826736739,254.419,251.52671732632615
2023-08-07 09:45:00,248.1,248.855,246.01,246.02,8860790.0,-3.6651,253.951,18.5104,256.71228884626436,253.951,251.18971115373563
2023-08-07 10:00:00,246.011,248.321,245.0,248.07,6213378.0,-2.8662,253.585,29.5571,256.55460108847444,253.585,250.61539891152557
2023-08-07 10:15:00,248.086,249.596,247.827,248.173,5285890.0,-2.9171,253.2122,30.0585,256.45685471920996,253.2122,249.96754528079003
2023-08-07 10:30:00,248.13,249.2,247.08,247.09,4418706.0,-3.3672,252.7817,27.8632,256.17374277393805,252.7817,249.38965722606196
2023-08-07 10:45:00,247.095,247.36,246.0,246.72,4639194.0,-3.3418,252.3552,27.1502,255.9607204333675,252.3552,248.7496795666325
2023-08-07 11:00:00,246.74,251.56,244.73,245.85,6000915.0,-3.5807,251.8987,25.5328,255.83196554864193,251.8987,247.96543445135805
2023-08-07 11:15:00,245.89,245.9,243.88,244.004,5049508.0,-4.2558,251.3564,22.5346,255.60355156614904,251.3564,247.10924843385098
2023-08-07 11:30:00,243.98,244.69,242.76,244.403,5363213.0,-4.088,250.8355,24.5503,255.9784843358187,250.8355,245.6925156641813
2023-08-07 11:45:00,244.36,245.7,244.191,245.65,3286260.0,-3.7044,250.363,30.5,255.35536842902349,250.363,245.3706315709765
2023-08-07 12:00:00,245.655,246.57,245.4,245.9,2986460.0,-3.5308,249.913,31.6376,254.84203026310664,249.913,244.98396973689339
2023-08-07 12:15:00,245.894,247.06,245.62,246.945,2950638.0,-3.0448,249.5253,36.2305,254.41071163500013,249.5253,244.63988836499985
2023-08-07 12:30:00,246.945,247.038,245.45,246.236,2943938.0,-3.3952,249.0926,34.5717,253.94889213791512,249.0926,244.23630786208489
2023-08-07 12:45:00,246.24,246.714,245.8,246.012,2303051.0,-3.5512,248.6397,34.0532,253.33290582762717,248.6397,243.94649417237284
2023-08-07 13:00:00,246.03,246.41,245.34,245.847,2252624.0,-3.7216,248.1645,33.6617,252.6053970086076,248.1645,243.7236029913924
2023-08-07 13:15:00,245.885,246.97,245.71,246.72,2193017.0,-3.1939,247.7575,37.6533,251.7792844660491,247.7575,243.7357155339509
2023-08-07 13:30:00,246.73,248.159,246.3,248.159,3004686.0,-2.7285,247.4095,43.547,251.03208277206724,247.4095,243.78691722793278
2023-08-07 13:45:00,248.16,248.679,247.205,248.385,2681324.0,-2.7429,247.0592,44.4157,250.41251457758872,247.0592,243.70588542241128
2023-08-07 14:00:00,248.38,248.83,247.86,248.03,2403918.0,-1.3601,246.8882,43.3137,250.00380713468076,246.8882,243.77259286531927
2023-08-07 14:15:00,248.02,249.5,248.02,248.73,2723913.0,-1.0817,246.7522,46.09,249.59411317325868,246.7522,243.9102868267413
2023-08-07 14:30:00,248.74,249.74,248.51,249.3,2699108.0,0.4837,246.8122,48.2619,249.42027964667614,246.8122,244.20412035332384
2023-08-07 14:45:00,249.26,249.7,248.9,249.31,2844383.0,1.3373,246.9767,48.3004,249.38492215954486,246.9767,244.56847784045513
2023-08-07 15:00:00,249.35,250.54,249.33,249.83,3169105.0,0.7095,247.0647,50.322,249.2528367341609,247.0647,244.87656326583908
2023-08-07 15:15:00,249.81,250.17,249.31,249.649,2668430.0,0.5947,247.1385,49.6112,249.35861584548744,247.1385,244.91838415451255
2023-08-07 15:30:00,249.625,250.57,249.31,249.98,3100030.0,1.1696,247.283,50.9451,249.69612330071632,247.283,244.86987669928365
2023-08-07 15:45:00,249.97,251.58,249.67,251.41,4446176.0,1.9009,247.5175,56.2157,250.16194399911586,247.5175,244.87305600088416
2023-08-07 16:00:00,251.45,252.22,249.23,251.81,3633466.0,2.4242,247.8155,57.5584,250.73609604489246,247.8155,244.8949039551075
2023-08-07 16:15:00,251.45,261.74,251.25,252.3,111899.0,3.3999,248.2303,59.1729,251.3617627255167,248.2303,245.0988372744833
2023-08-07 16:30:00,252.31,252.48,251.45,251.935,108900.0,3.0818,248.6069,57.4591,251.2801487353965,248.6069,245.9336512646035
2023-08-07 16:45:00,251.85,252.2,251.45,252.13,72465.0,2.6379,248.9309,58.1409,251.63510324768814,248.9309,246.22669675231188
2023-08-07 17:00:00,251.45,252.19,251.45,252.01,42763.0,2.4847,249.2364,57.5435,251.95257935573585,249.2364,246.52022064426416
2023-08-07 17:15:00,252.0,252.16,251.8,251.92,26017.0,2.0146,249.4852,57.0804,252.2224559786262,249.4852,246.7479440213738
2023-08-07 17:30:00,251.92,251.92,251.58,251.59,29099.0,2.1743,249.7529,55.3611,252.50336790280068,249.7529,247.00243209719935
2023-08-07 17:45:00,251.645,251.78,251.55,251.7,22102.0,2.3121,250.0373,55.828,252.88192928860664,250.0373,247.19267071139333
2023-08-07 18:00:00,251.62,251.75,251.51,251.54,22974.0,2.3157,250.3219,54.9481,253.2176055519163,250.3219,247.4261944480837
2023-08-07 18:15:00,251.6,251.89,251.52,251.8,22710.0,2.059,250.5759,56.1307,253.5752320699149,250.5759,247.57656793008508
2023-08-07 18:30:00,251.785,251.91,251.68,251.79,18030.0,1.4632,250.7575,56.0711,253.89422998055008,250.7575,247.6207700194499
2023-08-07 18:45:00,251.77,251.8,251.675,251.705,20627.0,1.3366,250.9235,55.5435,254.16763675343284,250.9235,247.67936324656714
2023-08-07 19:00:00,251.71,251.75,251.62,251.74,13874.0,1.4958,251.109,55.7241,254.3356504276997,251.109,247.8823495723003
2023-08-07 19:15:00,251.71,251.75,251.65,251.68,13832.0,1.186,251.2565,55.3186,254.2713435122948,251.2565,248.24165648770517
2023-08-07 19:30:00,251.68,251.71,251.66,251.69,17354.0,0.9587,251.376,55.3756,254.23313672975476,251.376,248.51886327024525
2023-08-07 19:45:00,251.69,251.89,251.66,251.75,50231.0,0.9787,251.498,55.7321,254.03819736653145,251.498,248.95780263346853
2023-08-08 04:00:00,250.47,250.98,248.9,249.25,59800.0,-0.2322,251.469,41.2724,253.52383041661568,251.469,249.4141695833843
2023-08-08 04:15:00,249.3,249.55,248.4,248.4,28060.0,-0.5003,251.4065,37.7656,253.39356142436668,251.4065,249.4194385756333
